# %ECSV 0.9
# ---
# datatype:
# - name: Filename
#   datatype: string
# - name: EL
#   datatype: float64
# - name: PA
#   datatype: float64
# - name: RotAng
#   datatype: float64
# - name: GuiderCoord
#   datatype: string
# - name: ImageCoord
#   datatype: string
# - name: OffsetDistance
#   datatype: float64
# - name: OffsetAngle
#   datatype: float64
# schema: astropy-2.0
Filename EL PA RotAng GuiderCoord ImageCoord OffsetDistance OffsetAngle
m191019_0091.fits 35.40509416 58.21990797 -173.20189938 "02:31:53.82 +67:28:25.39" "02:30:56.13 +67:25:52.89" 365.172429463 6.98618476522
m191019_0092.fits 35.45916139 103.22013123 -127.7830542 "02:31:53.82 +67:28:25.39" "02:30:54.25 +67:30:32.29" 364.840044465 7.01935309343
m191019_0093.fits 35.49064741 148.22010287 -82.37136444 "02:31:53.82 +67:28:25.39" "02:31:27.42 +67:33:57.04" 364.570655608 7.19463606126
m191019_0094.fits 35.53296429 193.22011399 -37.02294907 "02:31:53.82 +67:28:25.39" "02:32:16.18 +67:34:07.07" 364.961884646 7.39822453591
m191019_0095.fits 35.64000829 238.21984108 8.35861412 "02:31:53.82 +67:28:25.39" "02:32:51.78 +67:30:56.07" 365.30722919 7.52996543314
m191019_0096.fits 35.80209982 283.22012259 53.7423059 "02:31:53.82 +67:28:25.39" "02:32:53.23 +67:26:16.89" 365.046663379 7.50352320779
m191019_0097.fits 35.89248851 238.2200523 9.32010379 "02:31:53.82 +67:28:25.39" "02:32:51.77 +67:30:56.09" 365.265147082 7.52421839176
m191019_0098.fits 36.00416893 193.22011277 -35.21651062 "02:31:53.82 +67:28:25.39" "02:32:16.16 +67:34:06.79" 364.663187753 7.39838390908
m191019_0099.fits 36.17553556 148.22000888 -79.73955235 "02:31:53.82 +67:28:25.39" "02:31:27.46 +67:33:57.51" 364.894340603 7.26042273826
m191019_0100.fits 36.35260624 103.21992876 -124.34575257 "02:31:53.82 +67:28:25.39" "02:30:54.28 +67:30:32.38" 364.711437835 7.04226578251
m191019_0101.fits 36.5087114 58.21989227 -168.97394261 "02:31:53.82 +67:28:25.39" "02:30:56.15 +67:25:52.98" 365.028074928 6.99125615973
m191019_0102.fits 36.60385471 13.2202811 -213.62853417 "02:31:53.82 +67:28:25.39" "02:31:31.77 +67:22:42.27" 365.842444357 7.03999092729
m191019_0103.fits 36.64270187 -31.77978469 -258.28156361 "02:31:53.82 +67:28:25.39" "02:32:20.11 +67:22:52.99" 365.240194426 7.34625141966
m191019_0104.fits 36.66920321 -76.77989052 -302.86097893 "02:31:53.82 +67:28:25.39" "02:32:53.19 +67:26:16.66" 364.920737955 7.54943229036
m191019_0105.fits 36.70930629 -121.78010283 -347.43703827 "02:31:53.82 +67:28:25.39" "02:32:51.73 +67:30:55.72" 364.894938036 7.56123288538
m191019_0106.fits 36.80544159 -166.78007157 -391.99001202 "02:31:53.82 +67:28:25.39" "02:32:16.16 +67:34:07.07" 364.920957041 7.38014746102
m191019_0108.fits 60.26024325 -197.77987435 -403.65147862 "01:04:03.25 +47:22:21.51" "01:03:56.67 +47:28:20.18" 364.828211663 7.22640271829
m191019_0109.fits 60.35983878 -197.78002715 -403.03332314 "01:04:03.25 +47:22:21.51" "01:03:56.67 +47:28:20.25" 364.898428916 7.22607969606
m191019_0110.fits 60.46784183 -152.77991184 -357.36566338 "01:04:03.25 +47:22:21.51" "01:04:23.64 +47:27:22.07" 364.924890652 7.36258760364
m191019_0111.fits 60.62609407 -107.78002904 -311.7169579 "01:04:03.25 +47:22:21.51" "01:04:38.57 +47:23:27.70" 364.835286084 7.382060301
m191019_0112.fits 60.83465901 -62.77985477 -265.82938275 "01:04:03.25 +47:22:21.51" "01:04:32.82 +47:18:54.52" 364.960963521 7.37702781084
m191019_0113.fits 61.00783541 -17.77992221 -219.95637307 "01:04:03.25 +47:22:21.51" "01:04:09.74 +47:16:22.46" 365.081501251 7.36544089725
m191019_0114.fits 61.11833701 27.21999724 -174.07453999 "01:04:03.25 +47:22:21.51" "01:03:42.91 +47:17:20.21" 365.436510167 7.21030215488
m191019_0115.fits 61.16915238 72.22009738 -128.1860579 "01:04:03.25 +47:22:21.51" "01:03:27.92 +47:21:14.52" 365.096968201 7.15303960077
m191019_0116.fits 61.18892995 117.22006633 -82.36615738 "01:04:03.25 +47:22:21.51" "01:03:33.59 +47:25:47.81" 365.030838921 7.14744801845
m191019_0117.fits 61.2125263 162.22017776 -36.72807774 "01:04:03.25 +47:22:21.51" "01:03:56.67 +47:28:20.15" 364.794302169 7.22849426004
m191019_0118.fits 61.28112732 207.22009796 8.80650154 "01:04:03.25 +47:22:21.51" "01:04:23.63 +47:27:22.04" 364.875294577 7.35972629879
