# %ECSV 0.9
# ---
# datatype:
# - name: Filename
#   datatype: string
# - name: EL
#   datatype: float64
# - name: PA
#   datatype: float64
# - name: RotAng
#   datatype: float64
# - name: GuiderCoord
#   datatype: string
# - name: ImageCoord
#   datatype: string
# - name: OffsetDistance
#   datatype: float64
# - name: OffsetAngle
#   datatype: float64
# schema: astropy-2.0
Filename EL PA RotAng GuiderCoord ImageCoord OffsetDistance OffsetAngle
m190516_0073.fits 34.79532243 -99.77999883 -271.66092285 "17:16:23.02 +74:56:48.53" "17:18:05.24 +74:57:52.81" 403.17279061195484 0.8102856518458452
m190516_0074.fits 34.74545786 -119.78008487 -291.3050898 "17:16:23.02 +74:56:48.53" "17:17:53.51 +75:00:05.24" 403.15818834469667 0.7580072984992512
m190516_0075.fits 34.69845323 -139.78012242 -310.90731987 "17:16:23.02 +74:56:48.53" "17:17:30.71 +75:01:53.58" 402.7722007785739 0.6812243994722849
m190516_0076.fits 34.65944304 -159.78011228 -330.51718029 "17:16:23.02 +74:56:48.53" "17:16:59.64 +75:03:04.70" 402.14632408327697 0.5581188278022182
m190516_0077.fits 34.63218919 -179.78013938 -350.14836964 "17:16:23.02 +74:56:48.53" "17:16:24.11 +75:03:31.53" 403.0215789461001 0.38504381694031053
m190516_0079.fits 25.00125523 -179.77992235 -296.48086056 "13:56:05.75 +79:11:57.56" "13:56:07.33 +79:18:40.61" 403.0743031443204 0.4094437669505169
m190516_0080.fits 24.98979633 -159.77985583 -276.18939003 "13:56:05.75 +79:11:57.56" "13:56:56.84 +79:18:14.52" 403.1457699137606 0.6477055362660167
m190516_0081.fits 24.98147547 -139.77990211 -255.90201935 "13:56:05.75 +79:11:57.56" "13:57:40.21 +79:17:02.81" 403.9008749984788 0.8811869401786225
m190516_0082.fits 24.96730608 -119.78003941 -235.59561142 "13:56:05.75 +79:11:57.56" "13:58:11.72 +79:15:13.75" 404.0227456622114 0.9865653819810518
m190516_0083.fits 24.9491854 -99.77986509 -215.31177124 "13:56:05.75 +79:11:57.56" "13:58:27.81 +79:13:01.00" 403.9899123762748 1.0358468440776392
m190516_0084.fits 24.92066891 -79.77998024 -195.02969059 "13:56:05.75 +79:11:57.56" "13:58:26.77 +79:10:40.91" 404.11278005950106 1.001272151952719
m190516_0085.fits 24.87422434 -59.7800215 -174.71990952 "13:56:05.75 +79:11:57.56" "13:58:08.83 +79:08:30.39" 404.0230835178533 0.8792351377239811
m190516_0087.fits 24.74844762 -19.78005718 -134.1503838 "13:56:05.75 +79:11:57.56" "13:56:53.07 +79:05:36.75" 403.58137965270396 0.5373304189862438
m190516_0088.fits 24.66908225 0.22011136 -113.86900124 "13:56:05.75 +79:11:57.56" "13:56:04.44 +79:05:14.32" 403.2497368860379 0.30597860236761676
m190516_0089.fits 24.57827105 20.21992851 -93.55962357 "13:56:05.75 +79:11:57.56" "13:55:15.88 +79:05:39.96" 403.01262543988304 0.13648873676214635
m190516_0090.fits 24.49322529 40.220115 -73.29036316 "13:56:05.75 +79:11:57.56" "13:54:33.45 +79:06:50.72" 402.4725895889656 -0.08322067464138172
m190516_0091.fits 24.41457213 60.21999845 -53.04199967 "13:56:05.75 +79:11:57.56" "13:54:01.49 +79:08:37.88" 403.11396807252106 -0.1661059745947
m190516_0092.fits 24.34291521 80.22005456 -32.78584847 "13:56:05.75 +79:11:57.56" "13:53:44.59 +79:10:49.72" 402.89556269960275 -0.20181845926052233
m190516_0093.fits 24.28109265 100.2200004 -12.52949414 "13:56:05.75 +79:11:57.56" "13:53:44.68 +79:13:09.76" 402.71026411277927 -0.18011326323485832
m190516_0094.fits 24.22644959 120.2200132 7.76639095 "13:56:05.75 +79:11:57.56" "13:54:01.74 +79:15:21.07" 402.85246895513586 -0.13126906952339823
m190516_0095.fits 24.19529504 140.22011576 28.00395408 "13:56:05.75 +79:11:57.56" "13:54:34.13 +79:17:08.44" 403.0565499312892 0.06427069292115561
m190516_0096.fits 24.17617317 160.22002892 48.24870124 "13:56:05.75 +79:11:57.56" "13:55:17.73 +79:18:17.74" 403.2177374465377 0.21941767759656727
m190516_0097.fits 24.16247455 180.22000142 68.51259151 "13:56:05.75 +79:11:57.56" "13:56:07.35 +79:18:40.25" 402.7186420078141 0.41869356026418814
m190516_0098.fits 24.1446478 180.21997527 68.61406341 "13:56:05.75 +79:11:57.56" "13:56:07.39 +79:18:40.24" 402.7052865160376 0.4366670445365628
m190516_0099.fits 24.02673023 160.21988287 49.11522499 "13:56:05.75 +79:11:57.56" "13:55:17.77 +79:18:17.30" 402.76418784897606 0.2141808975035815
m190516_0100.fits 23.94574674 140.21985494 29.44960323 "13:56:05.75 +79:11:57.56" "13:54:34.13 +79:17:08.25" 402.9081805038475 0.046353700348277016
m190516_0101.fits 23.8789947 120.21990554 9.76955619 "13:56:05.75 +79:11:57.56" "13:54:01.74 +79:15:21.38" 403.0180072981995 -0.09273560676180637
m190516_0102.fits 23.82255026 100.21994846 -9.89918694 "13:56:05.75 +79:11:57.56" "13:53:44.84 +79:13:09.92" 402.29310629504135 -0.14639657305599485
m190516_0103.fits 23.78007466 80.21991175 -29.57483086 "13:56:05.75 +79:11:57.56" "13:53:44.59 +79:10:49.91" 402.8456628097355 -0.17608299088323065
m190516_0104.fits 23.86071478 -39.77995427 -148.93750653 "13:56:05.75 +79:11:57.56" "13:57:36.53 +79:06:44.14" 404.7938887370697 0.7038816611361653
