# %ECSV 0.9
# ---
# datatype:
# - name: Filename
#   datatype: string
# - name: EL
#   datatype: float64
# - name: PA
#   datatype: float64
# - name: RotAng
#   datatype: float64
# - name: GuiderCoord
#   datatype: string
# - name: ImageCoord
#   datatype: string
# - name: OffsetDistance
#   datatype: float64
# - name: OffsetAngle
#   datatype: float64
# schema: astropy-2.0
Filename EL PA RotAng GuiderCoord ImageCoord OffsetDistance OffsetAngle
m190515_0064.fits 69.54131431 90.2198309 -77.8223637 "19:05:40.38 +39:52:34.82" "19:05:05.34 +39:52:38.51" 403.4357459145767 0.2578819000231647
m190515_0065.fits 69.52785268 90.21992526 -77.60619339 "19:05:40.38 +39:52:34.82" "19:05:05.32 +39:52:38.52" 403.57058178335507 0.2596934530670296
m190515_0066.fits 69.51342505 90.21991953 -77.37964043 "19:05:40.38 +39:52:34.82" "19:05:05.32 +39:52:38.50" 403.5739699438735 0.2557778083944129
m190515_0067.fits 69.32711447 135.22018939 -30.79907116 "19:05:40.38 +39:52:34.82" "19:05:15.85 +39:57:22.88" 403.26113230557235 0.33504075661113575
m190515_0068.fits 69.31069886 135.22018795 -30.57551655 "19:05:40.38 +39:52:34.82" "19:05:15.81 +39:57:22.24" 403.15742266769763 0.22138646724891942
m190515_0069.fits 69.29444241 135.220112 -30.35792145 "19:05:40.38 +39:52:34.82" "19:05:15.81 +39:57:22.92" 403.65714827365736 0.286523958696705
m190515_0070.fits 69.20004175 180.2198695 15.51227584 "19:05:40.38 +39:52:34.82" "19:05:40.75 +39:59:18.03" 403.2372460172326 0.38139936718712875
m190515_0071.fits 69.18219617 180.21998923 15.73332992 "19:05:40.38 +39:52:34.82" "19:05:40.73 +39:59:17.86" 403.06540077701396 0.34993867016746094
m190515_0072.fits 69.16454589 180.21985924 15.94315448 "19:05:40.38 +39:52:34.82" "19:05:40.73 +39:59:17.96" 403.1655843549401 0.35991423942149936
m190515_0075.fits 79.77591587 180.21977701 3.32732502 "19:29:38.67 +29:52:28.33" "19:29:38.98 +29:59:11.51" 403.19452409144515 0.3579798177951261
m190515_0076.fits 79.74726497 135.21990094 -37.82003006 "19:29:38.67 +29:52:28.33" "19:29:16.93 +29:57:15.67" 403.1015854315799 0.221589550809
m190515_0077.fits 79.7560374 90.21978706 -80.04826817 "19:29:38.67 +29:52:28.33" "19:29:07.66 +29:52:32.21" 403.38467794073364 0.29879544390388446
m190515_0078.fits 79.77363533 45.22001734 -123.05895027 "19:29:38.67 +29:52:28.33" "19:29:16.55 +29:47:46.35" 402.9831280464152 0.3505163512271565
m190515_0079.fits 79.73885679 0.22005429 -166.18690285 "19:29:38.67 +29:52:28.33" "19:29:38.38 +29:45:44.91" 403.44178944607097 0.3172107926122578
m190515_0080.fits 79.62518226 -44.78011259 -209.2942532 "19:29:38.67 +29:52:28.33" "19:30:00.39 +29:47:40.21" 403.5520535684053 0.36058063037074817
m190515_0082.fits 79.24510394 -134.77990542 -295.32286438 "19:29:38.67 +29:52:28.33" "19:30:00.87 +29:57:10.96" 403.9456420527984 0.402024405376892
m190515_0083.fits 79.06419915 -179.77999676 -338.1660622 "19:29:38.67 +29:52:28.33" "19:29:38.97 +29:59:11.19" 402.87547073286385 0.3313721218439696
m190515_0084.fits 39.65352073 -179.77996505 -354.7858561 "19:32:31.13 +69:59:12.24" "19:32:31.98 +70:05:54.86" 402.64187878905307 0.4015362310559567
m190515_0085.fits 39.68037441 -134.77999643 -309.30230603 "19:32:31.13 +69:59:12.24" "19:33:27.45 +70:03:53.68" 403.1249974210803 0.6130337032767557
m190515_0086.fits 39.74807763 -89.7800354 -263.81388363 "19:32:31.13 +69:59:12.24" "19:33:49.60 +69:59:06.58" 402.9232063013585 0.7387073447231387
m190515_0087.fits 39.8044895 -44.78007932 -218.22908196 "19:32:31.13 +69:59:12.24" "19:33:25.92 +69:54:22.99" 403.83990375254797 0.6339645309575417
m190515_0088.fits 39.80693299 0.22003167 -172.6368731 "19:32:31.13 +69:59:12.24" "19:32:30.26 +69:52:28.77" 403.5005275881145 0.41072613204298136
m190515_0089.fits 39.74294438 45.21995587 -127.07861313 "19:32:31.13 +69:59:12.24" "19:31:35.23 +69:54:29.58" 403.1554568692411 0.1525874454912639
m190515_0090.fits 39.63735211 90.21986006 -81.53558812 "19:32:31.13 +69:59:12.24" "19:31:12.59 +69:59:15.34" 403.15680547153255 0.06614926491891993
m190515_0091.fits 39.54250003 135.22005421 -36.06458077 "19:32:31.13 +69:59:12.24" "19:31:36.00 +70:03:59.53" 402.8782374529748 0.15930934426305043
m190515_0092.fits 39.49754494 180.22001452 9.45121589 "19:32:31.13 +69:59:12.24" "19:32:31.91 +70:05:55.11" 402.88404639290854 0.3558783200917617
